acousticness	['Pissgrave - Blood Fog', 'https://i.scdn.co/image/ab67616d0000b273ab33dc1079321be091051896']	0.0	['Sleep - Some Grass', 'https://i.scdn.co/image/ab67616d0000b273135e343afe7262d1a1e407f3']	0.976
danceability	['Immortal - Unsilent Storms In The North Abyss', 'https://i.scdn.co/image/ab67616d0000b273cd28b4c494efabecd04fb292']	0.0808	['Q Lazzarus - Goodbye Horses (Extended Mix)', 'https://i.scdn.co/image/ab67616d0000b273d20348197a8bd7c9c02e5e60']	0.775
energy	['Skepticism - Sign of a Storm', 'https://i.scdn.co/image/ab67616d0000b27395d6bc27cc118e577c7cc561']	0.0869	['Darkthrone - I En Hall Med Flesk Og Mjod - Studio', 'https://i.scdn.co/image/ab67616d0000b27314162dce63b77ff4d37a25d3']	1.0
instrumentalness	['Ghost Mountain - Apollon', 'https://i.scdn.co/image/ab67616d0000b27320df971cce6c647af97125a4']	0.0	['Xasthur - Intro', 'https://i.scdn.co/image/ab67616d0000b27311134b48bf8cae7eef00b7d6']	0.998
loudness	['Skepticism - Sign of a Storm', 'https://i.scdn.co/image/ab67616d0000b27395d6bc27cc118e577c7cc561']	-22.655	['STOMACH BOOK - Tragedy', 'https://i.scdn.co/image/ab67616d0000b27331ae969f431654b8d3442826']	-0.745
tempo	['Burzum - Dunkelheit', 'https://i.scdn.co/image/ab67616d0000b273946cb01ce19e132b950409e3']	54.669	['Xasthur - Intro', 'https://i.scdn.co/image/ab67616d0000b27311134b48bf8cae7eef00b7d6']	213.803
valence	['Darkthrone - Over Fjell Og Gjennom Torner - Studio', 'https://i.scdn.co/image/ab67616d0000b27314162dce63b77ff4d37a25d3']	0.0169	['Grizzly Bear - Two Weeks', 'https://i.scdn.co/image/ab67616d0000b273aaa83532a319c37f1fb4180c']	0.744
duration_ms	['Sleep - Some Grass', 'https://i.scdn.co/image/ab67616d0000b273135e343afe7262d1a1e407f3']	48026	"[""Paysage D'Hiver - Welt aus Eis"", 'https://i.scdn.co/image/ab67616d0000b27326574106bdde853d7b09f576']"	1131160
popularity	['Skepticism - Sign of a Storm', 'https://i.scdn.co/image/ab67616d0000b27395d6bc27cc118e577c7cc561']	11	['Tyler, The Creator - GONE, GONE / THANK YOU', 'https://i.scdn.co/image/ab67616d0000b27330a635de2bb0caa4e26f6abb']	81
years	['The Beatles - Lucy In The Sky With Diamonds - 2017 Mix', 'https://i.scdn.co/image/ab67616d0000b273d6275471a517fc2399054f2c']	1967	['Pissgrave - In Heretic Blood Christened', 'https://i.scdn.co/image/ab67616d0000b273c413b8576f53d972f17fecea']	2025
